Country,Year,Uranium Produced
Kazakhstan,2011,19451
Australia,2011,5983
Namibia,2011,3258
Canada,2011,9145
Uzbekistan,2011,2500
Niger,2011,4351
Russia,2011,2993
China,2011,885
Ukraine,2011,890
India,2011,400
South,2011,582
Iran,2011,0
Pakistan,2011,45
Brazil,2011,265
USA,2011,1537
Czech,2011,229
Romania,2011,77
France,2011,6
Germany,2011,51
Malawi,2011,846
Kazakhstan,2012,21317
Australia,2012,6991
Namibia,2012,4495
Canada,2012,8999
Uzbekistan,2012,2400
Niger,2012,4667
Russia,2012,2872
China,2012,1500
Ukraine,2012,960
India,2012,385
South,2012,465
Iran,2012,0
Pakistan,2012,45
Brazil,2012,326
USA,2012,1596
Czech,2012,228
Romania,2012,90
France,2012,3
Germany,2012,50
Malawi,2012,1101
Kazakhstan,2013,22451
Australia,2013,6350
Namibia,2013,4323
Canada,2013,9331
Uzbekistan,2013,2400
Niger,2013,4518
Russia,2013,3135
China,2013,1500
Ukraine,2013,922
India,2013,385
South,2013,531
Iran,2013,0
Pakistan,2013,45
Brazil,2013,192
USA,2013,1792
Czech,2013,215
Romania,2013,77
France,2013,5
Germany,2013,27
Malawi,2013,1132
Kazakhstan,2014,23127
Australia,2014,5001
Namibia,2014,3255
Canada,2014,9134
Uzbekistan,2014,2400
Niger,2014,4057
Russia,2014,2990
China,2014,1500
Ukraine,2014,926
India,2014,385
South,2014,573
Iran,2014,0
Pakistan,2014,45
Brazil,2014,55
USA,2014,1919
Czech,2014,193
Romania,2014,77
France,2014,3
Germany,2014,33
Malawi,2014,369
Kazakhstan,2015,23607
Australia,2015,5654
Namibia,2015,2993
Canada,2015,13325
Uzbekistan,2015,2385
Niger,2015,4116
Russia,2015,3055
China,2015,1616
Ukraine,2015,1200
India,2015,385
South,2015,393
Iran,2015,38
Pakistan,2015,45
Brazil,2015,40
USA,2015,1256
Czech,2015,155
Romania,2015,77
France,2015,2
Germany,2015,0
Malawi,2015,0
Kazakhstan,2016,24689
Australia,2016,6315
Namibia,2016,3654
Canada,2016,14039
Uzbekistan,2016,3325
Niger,2016,3479
Russia,2016,3004
China,2016,1616
Ukraine,2016,808
India,2016,385
South,2016,490
Iran,2016,0
Pakistan,2016,45
Brazil,2016,44
USA,2016,1125
Czech,2016,138
Romania,2016,50
France,2016,0
Germany,2016,0
Malawi,2016,0
Kazakhstan,2017,23321
Australia,2017,5882
Namibia,2017,4224
Canada,2017,13116
Uzbekistan,2017,3400
Niger,2017,3449
Russia,2017,2917
China,2017,1692
Ukraine,2017,707
India,2017,421
South,2017,308
Iran,2017,40
Pakistan,2017,45
Brazil,2017,0
USA,2017,940
Czech,2017,0
Romania,2017,0
France,2017,0
Germany,2017,0
Malawi,2017,0
Kazakhstan,2018,21705
Australia,2018,6517
Namibia,2018,5525
Canada,2018,7001
Uzbekistan,2018,3450
Niger,2018,2911
Russia,2018,2904
China,2018,1885
Ukraine,2018,790
India,2018,423
South,2018,346
Iran,2018,71
Pakistan,2018,45
Brazil,2018,0
USA,2018,582
Czech,2018,0
Romania,2018,0
France,2018,0
Germany,2018,0
Malawi,2018,0
Kazakhstan,2019,22808
Australia,2019,6613
Namibia,2019,5476
Canada,2019,6938
Uzbekistan,2019,3500
Niger,2019,2983
Russia,2019,2911
China,2019,1885
Ukraine,2019,800
India,2019,308
South,2019,346
Iran,2019,71
Pakistan,2019,45
Brazil,2019,0
USA,2019,58
Czech,2019,0
Romania,2019,0
France,2019,0
Germany,2019,0
Malawi,2019,0
Kazakhstan,2020,19477
Australia,2020,6203
Namibia,2020,5413
Canada,2020,3885
Uzbekistan,2020,3500
Niger,2020,2991
Russia,2020,2846
China,2020,1885
Ukraine,2020,744
India,2020,400
South,2020,250
Iran,2020,71
Pakistan,2020,45
Brazil,2020,15
USA,2020,6
Czech,2020,0
Romania,2020,0
France,2020,0
Germany,2020,0
Malawi,2020,0
